"","sero_thresh","foi_sp","NNT_e","DeathsAverted_e","prop_red_e_med","Deaths_e","NNT","DeathsAverted","Deaths","NumCampaign","FirstVaxTime"
"60","ann_435",0.9,"845 (814-867)","6785 (6619-7044)","57%","5161 (4625-5448)","649 (624-665)","8839 (8623-9193)","7651 (6888-8091)","9 (9-9)","435 (435-435)"
"61","ann_800",0.5,"859 (774-984)","5941 (5209-6596)","59%","4209 (3937-4552)","686 (617-812)","7437 (6321-8266)","6528 (6135-7072)","8 (8-8)","800 (800-800)"
"62","ann_800",0.6,"840 (739-1000)","6074 (5096-6913)","57%","4549 (4256-4730)","667 (585-811)","7649 (6285-8733)","6957 (6562-7236)","8 (8-8)","800 (800-800)"
"63","ann_800",0.7,"810 (767-856)","6295 (5956-6649)","56%","4998 (4564-5254)","632 (601-654)","8063 (7791-8478)","7543 (6930-7887)","8 (8-8)","800 (800-800)"
"64","ann_800",0.8,"799 (774-848)","6377 (6008-6584)","54%","5446 (4908-5752)","611 (594-640)","8343 (7957-8581)","8010 (7264-8390)","8 (8-8)","800 (800-800)"
"65","ann_800",0.9,"832 (781-854)","6125 (5961-6519)","52%","5742 (5200-6155)","618 (589-638)","8243 (7982-8647)","8253 (7462-8726)","8 (8-8)","800 (800-800)"
"66","ann_late",0.5,"962 (895-1071)","6633 (5977-7125)","66%","3498 (3083-4048)","777 (715-889)","8204 (7214-8925)","5764 (4906-6602)","10 (10-10)","300 (300-300)"
"67","ann_late",0.6,"939 (845-1115)","6789 (5719-7550)","64%","3797 (3558-4345)","753 (679-935)","8468 (6825-9388)","6166 (5766-6986)","10 (10-10)","300 (300-300)"
"68","ann_late",0.7,"886 (849-922)","7197 (6919-7512)","64%","4072 (3821-4279)","705 (676-734)","9045 (8693-9428)","6511 (6134-6856)","10 (10-10)","300 (300-300)"
"69","ann_late",0.8,"857 (835-883)","7440 (7220-7629)","63%","4318 (3985-4537)","677 (656-695)","9415 (9177-9714)","6829 (6308-7177)","10 (10-10)","300 (300-300)"
"70","ann_late",0.9,"861 (835-888)","7399 (7181-7628)","62%","4518 (4092-4776)","677 (655-694)","9419 (9189-9728)","7052 (6395-7462)","10 (10-10)","300 (300-300)"
"71","bi_435",0.5,"684 (612-995)","4662 (3242-5209)","46%","5599 (5142-6498)","552 (482-848)","5775 (3819-6620)","8317 (7613-9604)","5 (5-5)","435 (435-435)"
"72","bi_435",0.6,"731 (590-1108)","4360 (2965-5408)","41%","6202 (5682-7158)","588 (467-925)","5421 (3558-6834)","9070 (8344-10321)","5 (5-5)","435 (435-435)"
"73","bi_435",0.7,"698 (628-823)","4558 (3870-5069)","41%","6701 (6380-7227)","544 (477-642)","5854 (4958-6684)","9617 (9187-10392)","5 (5-5)","435 (435-435)"
"74","bi_435",0.8,"680 (645-746)","4681 (4272-4937)","40%","7066 (6506-7595)","515 (487-571)","6183 (5584-6530)","10073 (9336-10862)","5 (5-5)","435 (435-435)"
"75","bi_435",0.9,"715 (682-770)","4448 (4129-4668)","38%","7477 (6823-7811)","546 (518-595)","5824 (5349-6145)","10677 (9720-11136)","5 (5-5)","435 (435-435)"
"76","bi_800",0.5,"651 (550-1312)","3916 (1945-4634)","39%","6207 (5801-8278)","517 (438-1154)","4932 (2212-5818)","9066 (8334-11854)","4 (4-4)","800 (800-800)"
"77","bi_800",0.6,"637 (514-858)","4000 (2972-4961)","38%","6514 (6162-7053)","500 (400-742)","5097 (3436-6370)","9471 (8962-10187)","4 (4-4)","800 (800-800)"
"78","bi_800",0.7,"602 (555-693)","4231 (3677-4591)","38%","7079 (6699-7407)","475 (436-553)","5359 (4604-5839)","10230 (9686-10715)","4 (4-4)","800 (800-800)"
"79","bi_800",0.8,"622 (583-666)","4092 (3822-4366)","35%","7635 (7174-7982)","477 (446-512)","5331 (4973-5713)","10893 (10295-11380)","4 (4-4)","800 (800-800)"
"80","bi_800",0.9,"635 (616-666)","4005 (3819-4134)","34%","7965 (7415-8220)","477 (464-502)","5335 (5068-5485)","11212 (10470-11578)","4 (4-4)","800 (800-800)"
"81","bi_late",0.5,"682 (601-987)","4671 (3221-5301)","46%","5498 (4972-6829)","556 (487-877)","5733 (3626-6545)","8244 (7520-10111)","5 (5-5)","300 (300-300)"
"82","bi_late",0.6,"653 (548-853)","4878 (3728-5817)","46%","5813 (5175-6432)","530 (437-738)","6015 (4315-7287)","8684 (7808-9609)","5 (5-5)","300 (300-300)"
"83","bi_late",0.7,"600 (541-690)","5310 (4602-5877)","47%","5949 (5544-6372)","483 (431-559)","6589 (5688-7388)","8984 (8339-9576)","5 (5-5)","300 (300-300)"
"84","bi_late",0.8,"579 (545-625)","5493 (5089-5827)","47%","6260 (5851-6679)","459 (430-503)","6924 (6317-7398)","9331 (8735-9938)","5 (5-5)","300 (300-300)"
"85","bi_late",0.9,"616 (585-648)","5162 (4904-5430)","44%","6762 (6149-7045)","489 (464-520)","6507 (6112-6846)","9980 (9086-10428)","5 (5-5)","300 (300-300)"
